platform,wallet,nickname,rank,score,pnl,roi_pct,win_rate_pct,tx,estimated_wins,estimated_losses,estimated_loss_rate_pct,top_token_wins,top_token_losses,pnl_history_change,pnl_history_max_drawdown,top_tokens,profile_url
okx_web3,2yAC6xp35z2rHrpECuzRAWM5BLnzvu816gYt8kE9DSk8,2yAC6xp35z,80,16.7407,5326.806993,362.972248,38.4615,47,18.08,28.92,61.5385,3,0,4758.0,0.0,GutGenug|锄头|maxxing,https://web3.okx.com/portfolio/2yAC6xp35z2rHrpECuzRAWM5BLnzvu816gYt8kE9DSk8/analysis?chainIndex=501
okx_web3,C8hen6TuB6BGxNfhvpJrqgZMCUJnGZEhKaeavCUzJViM,C8hen6TuB6,63,16.7189,779.458044,315.233094,100.0,17,17.0,0.0,0.0,2,0,0.0,0.0,QNT|acorn,https://web3.okx.com/portfolio/C8hen6TuB6BGxNfhvpJrqgZMCUJnGZEhKaeavCUzJViM/analysis?chainIndex=501
okx_web3,4JDFkybq1s7L2ogu7heTPDhRJxmXGu4yKQgpGBNbGcJ5,4JDFkybq1s,14,16.6975,13868.518334,209.590306,50.0,39,19.5,19.5,50.0,3,0,237.0,-209.0,SV151|ACAT|FIGURINE,https://web3.okx.com/portfolio/4JDFkybq1s7L2ogu7heTPDhRJxmXGu4yKQgpGBNbGcJ5/analysis?chainIndex=501
okx_web3,6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,nyhrox,22,16.677,11805.177352,23.696689,62.2222,454,282.49,171.51,37.7778,3,0,5336.0,-1848.0,HUNTER|PARQ|MMG,https://web3.okx.com/portfolio/6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC/analysis?chainIndex=501
okx_web3,Abk9EfhWsLnxuMm7qJXvMYNyvKgtp8sfSoL45srMzP49,Abk9EfhWsL,14,16.6685,3785.433099,3.29113,60.9547,5631,3432.36,2198.64,39.0453,3,0,-930.0,-930.0,Jotchua|Samamfa|PARQ,https://web3.okx.com/portfolio/Abk9EfhWsLnxuMm7qJXvMYNyvKgtp8sfSoL45srMzP49/analysis?chainIndex=501
okx_web3,45Sn4KL1MHqwnpvcyjLnQnCtJDmw6zDeBnPevs5b4ZyG,45Sn4KL1MH,88,16.6334,5077.563648,1.919621,45.8484,11140,5107.51,6032.49,54.1516,3,0,874.0,-325.0,SLAB|BULL|ZERO,https://web3.okx.com/portfolio/45Sn4KL1MHqwnpvcyjLnQnCtJDmw6zDeBnPevs5b4ZyG/analysis?chainIndex=501
okx_web3,HV6qrf4NracZde3KaXfwZ7VrNtMfmWg5WaiaPEpL1LXt,HV6qrf4Nra,42,16.621,309.687648,723.866579,50.0,4,2.0,2.0,50.0,1,0,0.0,0.0,PERPENIS,https://web3.okx.com/portfolio/HV6qrf4NracZde3KaXfwZ7VrNtMfmWg5WaiaPEpL1LXt/analysis?chainIndex=501
okx_web3,7PpDHwPsFKozjZc3y7HDEUGLfks8Ax2QbJnUJLE1ChNS,7PpDHwPsFK,29,16.6148,836.401061,221.484452,100.0,90,90.0,0.0,0.0,1,0,-7.0,-16.0,TRILLION,https://web3.okx.com/portfolio/7PpDHwPsFKozjZc3y7HDEUGLfks8Ax2QbJnUJLE1ChNS/analysis?chainIndex=501
okx_web3,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN,chester,35,16.5945,8337.480842,7.524363,48.7742,3574,1743.19,1830.81,51.2258,3,0,1310.0,-1438.0,BOUTYWORK|NEO|LMAO!,https://web3.okx.com/portfolio/PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN/analysis?chainIndex=501
okx_web3,4EH92iYK8wua8MyqNExVeiXy5VJUAweXqJPuTWqCvNB8,4EH92iYK8w,27,16.558,2645.232422,3.211228,69.4382,3955,2746.28,1208.72,30.5618,3,0,188.0,-247.0,PT|STEPHEN|SHERBERT,https://web3.okx.com/portfolio/4EH92iYK8wua8MyqNExVeiXy5VJUAweXqJPuTWqCvNB8/analysis?chainIndex=501
okx_web3,CkunCFewEoohH9PKhdxxvpidJq9JXyKExcJcYFWg3egf,CkunCFewEo,81,16.5305,5218.984415,81.282086,78.9474,153,120.79,32.21,21.0526,3,0,-2019.0,-2757.0,ISOR|GDP|PXR,https://web3.okx.com/portfolio/CkunCFewEoohH9PKhdxxvpidJq9JXyKExcJcYFWg3egf/analysis?chainIndex=501
okx_web3,C21R6y1fqFUNCEzNJgjVcEnjTE2y6Cq7GWLfZzkbBm7a,C21R6y1fqF,81,16.4936,2918.121855,406.152103,50.0,15,7.5,7.5,50.0,2,0,335.0,0.0,GO|ZCRASH,https://web3.okx.com/portfolio/C21R6y1fqFUNCEzNJgjVcEnjTE2y6Cq7GWLfZzkbBm7a/analysis?chainIndex=501
okx_web3,B4BRKN4vSDMUNAVX2uRwPGvCr7RGsQ6zSSpdH6EvJq7i,B4BRKN4vSD,68,16.4222,2017.71741,261.256339,100.0,3,3.0,0.0,0.0,1,0,32.0,0.0,HUNTER,https://web3.okx.com/portfolio/B4BRKN4vSDMUNAVX2uRwPGvCr7RGsQ6zSSpdH6EvJq7i/analysis?chainIndex=501
okx_web3,7HbTte3VF7ThD44rXdZK16iv3snMCxUCkbAD7PVDGv9c,7HbTte3VF7,13,16.4141,14127.864806,276.028062,33.3333,35,11.67,23.33,66.6667,1,0,374.0,0.0,WORLDCUP,https://web3.okx.com/portfolio/7HbTte3VF7ThD44rXdZK16iv3snMCxUCkbAD7PVDGv9c/analysis?chainIndex=501
okx_web3,9iaawVBEsFG35PSwd4PahwT8fYNQe9XYuRdWm872dUqY,meechie,30,16.3517,9862.873625,73.439482,56.7164,323,183.19,139.81,43.2836,3,0,1551.0,-1190.0,Attention|USDC|imagine,https://web3.okx.com/portfolio/9iaawVBEsFG35PSwd4PahwT8fYNQe9XYuRdWm872dUqY/analysis?chainIndex=501
okx_web3,BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB,Limfork.eth,40,16.3197,7699.170035,7.729343,49.0358,2283,1119.49,1163.51,50.9642,3,0,-1426.0,-2508.0,shibpost|BountyCraft|FIN,https://web3.okx.com/portfolio/BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB/analysis?chainIndex=501
