signal,side,entry_time,exit_time,entry,exit,pnl_pct,funding,oi_change_24h,ret_24h,trend
global_longs_crowded_short,short,2026-05-23 00:00:00,2026-05-24 00:00:00,75635.22,76750.0,-1.7138900739629024,1.783e-05,0.04510826356858111,-0.02757470495621106,down
global_longs_crowded_short,short,2026-05-23 04:00:00,2026-05-24 04:00:00,74609.36,76799.99,-3.176132946322023,1.783e-05,0.04638316132501341,-0.036155149735053405,down
global_longs_crowded_short,short,2026-05-23 08:00:00,2026-05-24 08:00:00,74789.99,77320.06,-3.622899235579506,1.025e-05,0.04357811226605901,-0.034080970346449635,down
global_longs_crowded_short,short,2026-05-23 12:00:00,2026-05-24 12:00:00,75520.0,76371.59,-1.3676350635593069,1.025e-05,0.0036977240177162862,-0.01654616796146502,down
global_longs_crowded_short,short,2026-05-27 08:00:00,2026-05-28 08:00:00,75769.18,73505.66,2.7473888037325827,8.948e-05,0.024057356770117,-0.018324759615229058,down
global_longs_crowded_short,short,2026-05-27 12:00:00,2026-05-28 12:00:00,75326.01,72928.73,2.942539470761825,8.948e-05,0.05925675253117069,-0.015579189760331347,down
global_longs_crowded_short,short,2026-05-27 16:00:00,2026-05-28 16:00:00,75066.08,73419.32,1.953747162500015,9.914e-05,0.03837782806929013,-0.012963761636774818,down
global_longs_crowded_short,short,2026-05-27 20:00:00,2026-05-28 20:00:00,74449.3,73617.51,0.8772569789104858,9.914e-05,0.018146889123590526,-0.019500985183592,down
global_longs_crowded_short,short,2026-05-28 00:00:00,2026-05-29 00:00:00,73258.01,73301.52,-0.2993928227097695,0.0001,0.015888912947971345,-0.032041409563574486,down
global_longs_crowded_short,short,2026-05-28 04:00:00,2026-05-29 04:00:00,73498.0,73528.56,-0.2815793627037475,0.0001,0.037224139404212764,-0.032630459913155496,down
global_longs_crowded_short,short,2026-05-28 08:00:00,2026-05-29 08:00:00,73505.66,73487.98,-0.21594743044275755,5.011e-05,0.03514681603924075,-0.029873888037325824,down
global_longs_crowded_short,short,2026-05-28 12:00:00,2026-05-29 12:00:00,72928.73,73808.26,-1.4460130486297949,5.011e-05,0.035434624630702904,-0.03182539470761825,down
global_longs_crowded_short,short,2026-05-28 16:00:00,2026-05-29 16:00:00,73419.32,73520.28,-0.37751148880156715,0.0001,0.03680985444182383,-0.02193747162500015,down
global_longs_crowded_short,short,2026-05-28 20:00:00,2026-05-29 20:00:00,73617.51,73460.78,-0.027102280422146338,0.0001,0.05659904371420321,-0.011172569789104858,down
global_longs_crowded_short,short,2026-05-29 00:00:00,2026-05-30 00:00:00,73301.52,73524.01,-0.5435271301331743,0.0001,0.047340858175022316,0.0005939282270976953,down
global_longs_crowded_short,short,2026-05-29 04:00:00,2026-05-30 04:00:00,73528.56,73548.6,-0.2672547157186276,0.0001,0.016073696274155447,0.00041579362703747513,down
global_longs_crowded_short,short,2026-05-29 08:00:00,2026-05-30 08:00:00,73487.98,73602.02,-0.3951818406221094,5.391e-05,0.007839027103803797,-0.00024052569557242442,down
global_longs_crowded_short,short,2026-05-29 12:00:00,2026-05-30 12:00:00,73808.26,73930.14,-0.40513056939697617,5.391e-05,0.0011339131778071998,0.012060130486297949,down
global_longs_crowded_short,short,2026-05-29 16:00:00,2026-05-30 16:00:00,73520.28,74016.65,-0.9151470478621568,6.702e-05,-0.01638376410711928,0.0013751148880156716,down
