timestamp,open,high,low,close,volume,funding,oi_btc,oi_usd,global_long,global_short,global_lsr,top_position_long,top_position_short,top_position_lsr,top_account_long,top_account_short,top_account_lsr,taker_buy_sell_ratio,taker_buy_vol,taker_sell_vol,ret_1,ret_24h,ret_48h,range_24h,volatility_24h,funding_ma_24h,funding_z_30d,funding_prev,funding_prev2,oi_change_24h,oi_change_48h,oi_z_30d,taker_buy_sell_z,ema_20,ema_50,ema_slope_24h,trend,h9_crowded_long_short,h9_crowded_short_long,funding_flip_short,funding_flip_long,flush_rebound_long,global_longs_crowded_short,top_longs_crowded_short,taker_sell_pressure_short,taker_buy_pressure_long,signal_score_short,signal_score_long,signal
2026-05-23 16:00:00,75519.99,76012.22,75371.72,75983.45,1772.27259,7.441e-05,104574.871,7928065386.232348,0.586,0.414,1.4155,0.5364,0.4636,1.1572,0.5826,0.4174,1.3958,1.3447,8842.5,6575.759,0.0061367849576270395,0.0016215302732227599,-0.021973197258457144,0.024205945381318594,0.008267111335927632,2.6580000000000003e-05,1.5121594349710499,1.025e-05,1.025e-05,0.004290117555052264,0.03526149039704807,0.10685480720381368,2.417989090826868,76420.29002108391,77408.17315319047,-0.011203772902189879,down,False,False,False,False,False,False,True,False,False,3,0,short
2026-05-23 20:00:00,75983.45,77404.18,75953.94,76752.01,3274.91982,7.441e-05,103095.782,7892719659.324428,0.5768,0.4232,1.3629,0.538,0.462,1.1643,0.5713,0.4287,1.3326,1.169,22530.094,19272.251,0.010114834217187951,0.01605133737978126,-0.011125481089349298,0.0419248454696215,0.008755226134558371,3.416333333333333e-05,1.474548675719768,7.441e-05,1.025e-05,-0.01812343062966315,0.022606154630883557,-0.5793858620930462,1.1783272333861041,76451.8824000283,77382.44126483006,-0.008661239574498714,down,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-24 00:00:00,76752.0,77011.62,76629.02,76750.0,1051.70404,9.044e-05,102862.866,7899601991.384464,0.5522,0.4478,1.2331,0.5438,0.4562,1.1922,0.5463,0.4537,1.2041,0.9445,5276.837,5587.055,-2.6188239239499644e-05,0.014738900739629024,-0.01324222505585626,0.0419248454696215,0.00881298089646831,4.6265e-05,1.9539770189753523,7.441e-05,7.441e-05,-0.024122690487655807,0.019897440400424626,-0.7558554924808177,-0.3688691793263655,76480.27455240657,77357.63964660144,-0.006471542138335895,down,False,False,False,False,False,False,True,False,False,3,0,short
2026-05-24 04:00:00,76750.01,77065.94,76651.59,76799.99,817.66826,9.044e-05,102484.808,7886831132.9288,0.5448,0.4552,1.1968,0.5434,0.4566,1.1903,0.5498,0.4502,1.2212,1.1066,4815.697,4351.842,0.0006513355048860525,0.02936132946322023,-0.007855383534996152,0.041729090773039657,0.004489898350343215,5.8366666666666665e-05,1.8857726450202839,9.044e-05,7.441e-05,-0.02601930831835897,0.01915699523135883,-0.8039990676267681,0.7492414861113151,76510.72364265357,77335.77103300922,-0.003154192049266702,down,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-24 08:00:00,76799.99,77543.15,76734.42,77320.06,1746.24676,6.29e-05,101298.605,7816666335.383,0.5336,0.4664,1.1441,0.5407,0.4593,1.1772,0.5392,0.4608,1.1701,1.5161,10377.616,6845.022,0.006771745673404217,0.03382899235579506,-0.0014049028759826054,0.038616368459436945,0.004370224471854202,6.714166666666667e-05,0.9579929059423248,9.044e-05,9.044e-05,-0.037461351355599026,0.0044842659354475956,-1.1402449897861795,3.2756039204061,76587.80329573418,77335.15491406768,0.00028632089122382354,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-24 12:00:00,77320.06,77325.72,76195.36,76371.59,1982.25663,6.29e-05,100614.352,7689773817.5264,0.5275,0.4725,1.1164,0.5331,0.4669,1.1418,0.5311,0.4689,1.1327,0.8073,10759.423,13328.419,-0.012266803724673814,0.011276350635593069,-0.005456397717480743,0.028809611880954655,0.007938959504410217,7.591666666666666e-05,0.9447729588377899,6.29e-05,9.044e-05,-0.03508648199194042,-0.03151849810138285,-1.0482029671598196,-1.258642837797497,76567.2115532833,77297.36805469247,0.00132003781387513,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-24 16:00:00,76371.59,76799.99,76371.59,76773.34,882.04437,6.265e-05,100060.269,7668157131.432365,0.5318,0.4682,1.1358,0.5319,0.4681,1.1364,0.5409,0.4591,1.1782,1.2669,5089.889,4017.72,0.005260464002386334,0.010395553242186217,0.012033940219698058,0.020923338539119873,0.007852953950636687,7.395666666666666e-05,0.9239959366700303,6.29e-05,6.29e-05,-0.04317100233382065,-0.039066093453750006,-1.2732602027470385,1.6385766909691188,76586.84283392299,77276.81793490061,0.0021794318340473406,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-24 20:00:00,76773.33,77225.97,76108.0,77064.96,1918.0815,6.265e-05,99329.852,7625671933.8624,0.5362,0.4638,1.1561,0.5318,0.4682,1.136,0.5439,0.4561,1.1925,1.0587,10629.184,10039.753,0.0037984539945767892,0.0040774176467823775,0.020194203032850355,0.018856756188573964,0.0068692363604981425,7.199666666666666e-05,0.912013435449099,6.265e-05,6.29e-05,-0.03652845855517162,-0.053989868200201574,-1.049819347660257,0.320158949247438,76632.3778021208,77268.50978059079,0.0023609020003989567,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-25 00:00:00,77064.96,77485.0,76914.25,77026.67,1368.4044,6.549e-05,99339.111,7655479184.0151,0.5374,0.4626,1.1617,0.5325,0.4675,1.1392,0.5443,0.4557,1.1944,1.0487,7498.755,7150.546,-0.0004968535635392346,0.0036048208469054988,0.018396852683181253,0.018856756188573964,0.006881838480517147,6.783833333333333e-05,0.9926069746089191,6.265e-05,6.265e-05,-0.034256823059936825,-0.057553146807827416,-0.9649991443079599,0.2546641370242922,76669.92944001405,77259.02586762645,0.0024797882685099193,sideway,False,False,False,False,False,False,True,False,False,3,0,short
2026-05-25 04:00:00,77026.68,77650.0,76990.78,77401.12,1348.52945,6.549e-05,100129.839,7748726800.208703,0.5312,0.4688,1.1331,0.5278,0.4722,1.1177,0.5368,0.4632,1.1589,1.2296,8042.382,6540.55,0.004861303234321213,0.007827214560835127,0.03741836144955535,0.020260682188468992,0.007096964577311903,6.368e-05,0.9792015898462456,6.549e-05,6.265e-05,-0.0229787130986282,-0.04840013119611486,-0.6090936380596698,1.3844526533348793,76739.56663620319,77264.59818654307,0.0029909924080504524,up,False,False,False,False,False,False,False,False,False,0,0,hold
